review,rating,date,bank
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,CBE
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,CBE
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",1,2025-02-15,CBE
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,CBE
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,CBE
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",3,2025-03-30,CBE
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE
"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",1,2025-01-29,CBE
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,CBE
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE
"In the previous, I gave 4 🌟 for this app based on my evaluation. This app was without biometric security and may be exposed to cheaters unexpectedly. It is solved now. You can add verification security on the setting app. But there is something problem still with verification. It must prevent logging in without correct input fingerprint.",5,2024-12-20,CBE
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,2025-03-25,CBE
"The recent update automatically turns the developers option on, and when one starts the app, a message pops up saying the app does not work with the developers option on. So, one has to go to the settings and manually turn the developers option off. Otherwise the app doesn't work.",3,2025-01-01,CBE
"The review page keeps loading, and even sync is completed. The history page always shows old/unknown transactions. ...... Edited: I guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another 3 years. Upgrade to 3 stars .",3,2024-12-30,CBE
"First this app was pretty good and well connection while transferring money, but now there's no such a worst mob app ever while transferring money it corrupts due to the network and took the amount of money you were transferring from your account then after seconds interruptions it's shows that the money is transferred (this case happens especially to telebirrr wallet) then after you report the issue to the CBE customer service they refund your money to your CBE account after 3-5 days.",2,2025-01-09,CBE
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE
What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,1,2025-03-21,CBE
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,5,2025-03-31,CBE
"The app is full of bugs here and there, perhaps it's from the backend side idk. For instance the transaction history you see on top is one made a couple of months ago and you have to refresh until you reach the top. it's just so bizarre. And you can't even search for a transaction you made. Someone with a lot of transactions will find it annoying. Even simple things like localising dates to Amharic dates are now correctly implemented.",2,2025-02-25,CBE
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE
It used to be the best bank app in Ethiopia. But now using it is a terrible experience. For every transaction it shows an error message. Making a simple payment requires 5 to 6 trials to complete.,1,2025-01-31,CBE
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,CBE
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE
Its good but we need an option of choosing a specific period to get a historique of transactions. For example when i want to check my previous transactions i only get few transactions. Thank you.,2,2025-01-30,CBE
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE
"As an app developer, I rely on Developer Mode to build and test apps, but this app blocks access entirely if it's enabled. This restriction is unnecessary and makes it impossible for developers to use the service. Instead of outright blocking, consider implementing enhanced security measures that don't alienate professionals who need this setting. Please reconsider this policy.",2,2024-12-31,CBE
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,CBE
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,2025-03-29,CBE
"I have seen lots of great updates right here, especially the 2FA using the biometric security technique, I suggest you work on minimising app crashing due to the accumulation of cache, very little cache crash it.",4,2025-02-03,CBE
"Add customer service please other than calling 951. Why would you have a mobile app but not an online text-based customer service? Why? Disappointing And I will never use the top-up feature again, I have been trying to recharge my safaricom balance but your app would say time out and then credit my account but never recharge my balance, why? Where is my money? Do you expect me to call 951 at midnight?",2,2025-02-08,CBE
"Why on earth is CBE telling me to turn off developer mode? As the name clearly states, it's for developers, not for CBE to dictate. There are countless financial apps out there that work just fine without demanding such an unnecessary restriction. If your app can’t handle developer mode, that’s a you problem. Fix your code instead of disabling features that have absolutely nothing to do with you.",2,2025-01-25,CBE
"I really like this app as it is being updated from time to time and includes multiple payment options. In particular, giving a receipt makes it even more preferable. However, when it is refreshed, it does not show the history of credit and deposit in order and, I am of the opinion that it is better if the recent history is fixed respectively according to the transaction date in the future because there is a problem of confusion.",3,2024-09-12,CBE
"I like the application very much because it is user friendly and makes transactions easiest, especially for business matters. But, these few days I faced difficulties of opening it. I tried to uninstall and re install the app, and re verified at the nearest cbe center. But still failed to use all the functions. It says 'none available'. Any suggestions please!",3,2023-06-05,CBE
"Most of the time, in the 'Recents' button the app becomes stuck and doesn't show up details of transactions and doesn't even scroll down; should be solved. Second, the app doesn't save the last pop-up screen when a transaction is complete. Third, there is no telebirr transfer to other person option and the app by default lets you to only own telebirr transfer.",4,2022-10-06,CBE
"It's a great app. I've been using this app since the bank launched it. As a long-term user, I would like to point out things that need to be improved. 1. Deleting money transfer history should be the user's choice. 2. There should be an option to download an in-depth transfer history for each transfer activity , just as there is posiblity to download a single time transfer recit. Do that and get 5 star.",3,2022-03-18,CBE
"This app has several issues based on my experience. Below are the problems that I encountered: 1. The app frequently crashes. 2. It only shows a limited transaction record history (25 transactions). 3. You can't access the transaction records after 8:00 pm and on Sundays. 4. It displays a ""payment failed"" message. It would be greatly appreciated if you could address these issues",1,2024-08-25,CBE
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,CBE
"My experience with this app has been outstanding so far,but sometimes it has a hard time connecting with network and makes it hard to make transactions. Apart from that it's amazing.",4,2024-12-17,CBE
"I have been using this app for almost four years now. In the beginning, it was working fine. Sometime later, it gets difficult to create a connection to my account, and could not manage to make and see transactions on my account. After updating it lately, Jul 2020, I was glad this app came with some user interface improvements, and the connection was quite fast. Not longer than two weeks, the app starts to get stuck, and it cannot even show me the UI properly. As a result, I have a useless app on my cell phone, hoping that [you] will soon come with updates.",2,2020-09-03,CBE
"Application UI and new features are better than the previous version. I found a minor bugs though. I couldn't transfer to an account from the beneficiary list, it says None Available; There is still so much to do with the localization; Instead of ሰኔ it says ጁን and more like this; date conversion is missing also. If this minor things are fixed it will be much better.",3,2020-11-05,CBE
"It is a good and progressive app through the updates. I think the app should further solve its bugs like 1. It doesn't download or share attachment on android 12 and 11, it used to work on android 10. 2. Sometimes transactions seem like they have failed and there are no records, but the transactions actually have passed this is a very serious issue, because people will try the transaction again which will end up doubling the payment.",4,2022-09-15,CBE
"With each update the app is getting slower and slower, specially when requesting transaction history. And I wish the logging process could be done easily. When someone changes a phone, it makes it mandatory to consult the branch and that makes it not to be self assisted. Hope you could fix it. Please add an option of transferring to other TeleBirr numbers other than the ""Own telebirr"" option. It id very limiting now a days",4,2023-08-11,CBE
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE
"The CBE mobile banking app is a time-saver, but it needs several improvements, like adding fingerprint authentication. It's risky when people see me entering my PIN. Additionally, the fees are unreasonable. You could learn from Tele Birr, which adjusts fees based on the transaction amount. However, the CBEMB app charges a flat 10 birr fee for amounts between 5 and 1000 birr, which I think is unfair.",2,2024-09-04,CBE
"The app is awesome. But there are many things to highlight.For example, When spending money from the account , a confirmation text message must be sent to the account holder. Also the fact that, the PIN is only four digits is not safe enough for security, if it is more than eight digits and includes numbers and symbols, it will be cool.",3,2023-01-29,CBE
"Still needs development on several features.... For example - bank statements available online. The text feature of available balance and debited/credited notifications is very old school and involves too much digital trail. App doesn't always work, could be due to network issues in Ethiopia though. Another major issue is an error message is displayed when transferring from CBE to other banks. Ive almost lost a few thousands doing this once. Always cross check your balances.",1,2024-08-27,CBE
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,4,2025-03-31,CBE
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,CBE
"The app has brought a new problem. When i open the app, it closes itself then i have to open it again. Please fix this issue if it's your problem",3,2025-03-14,CBE
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE
"I really love this app,it is amazing. It is more flexible than any other banks app. The only and main problem that I encountered with this app is,if it is uninstalled from this devices, I have to go to the bank and mostly the specific barank the account is opened to reconfigur again. This is very unpractical in most cases,since people are traveling and very busy in their day to day activities. Kindly consider to change this option.",5,2023-09-11,CBE
"I have been using this app for more than a year it came with best version, but now after the last update it's not working well as before. It can't sync, the connection is not working at all. I can't see recent transactions and make any transfer , all the features are not working, I hope you will come with a better update soon.",2,2020-09-12,CBE
"In fact, it's a good app to make our daily life easier! However, I have encountered several times issues with this app. 1. It's not always working with network error, even though the network is good on my phone. 2. It happened to me several times that when I transfer money to someone's account, I doubled the transfer! Or in another word, my money sent two times. If I wanted to send 10,000, I found that sent 20,000 because of the APP error. I hope this will be fixed soon.",1,2023-09-04,CBE
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,CBE
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,CBE
Since last week this app has started not working. It simply log in without network but can't sync. Please fix it.,5,2025-03-21,CBE
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE
"URGENT FIX REQUIRED!!! The app does not work anymore! Account balance is not displayed. Trying to use any service on the app shows error ""None available"". What is the point of an internet/mobile banking app if you cannot carry out banking services from your fingertips? I also don't want to reinstall because CBE activation code can only be recieved in the bank, which sounds very ridiculous. These days, banks send OTP to email, so customers can manage their account anywhere in the world.",1,2023-12-26,CBE
"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",1,2025-01-01,CBE
some times it is difficult to get reciepts for the payment made,1,2025-03-23,CBE
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE
In the lasted update you removed the capability to screenshot transactions.,3,2025-03-21,CBE
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE
"Sometimes it brings a contradicting notifications. First I saw an internet poll form. After I filled it, another message comes that advises users not fill any forms sent or bank did not send such documents. Sometimes the app gets stack without any prior notices. It happened quite numerical times with me. Otherwise great app. I think a followup maintenance and improvements needed",3,2024-03-09,CBE
"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",1,2025-02-07,CBE
"Before the new version, the app was fast and merits 4 ⭐. However, following the upgrade, the app is slow and takes time to reload. Apps are useless without speed, so make them work.",1,2024-12-19,CBE
Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,1,2025-02-07,CBE
"Why force-disable Developer Options in the latest update? I get that it's a security precaution, but it's overkill. Plenty of other financial apps do not require it and it's sometimes necessary for debugging/experimental reasons",1,2025-01-21,CBE
I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app 🙄 This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous 😒,2,2025-01-06,CBE
The apk doesn't work when the phones developer option is turned on. It always asks me to turn off the developer options to open the apk. Please fix it as it is unnecessary.,4,2025-01-26,CBE
"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",1,2025-01-01,CBE
Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,1,2025-01-01,CBE
The app is crashing several times it's really annoying and sometimes it's says failed during different operations ?????? Please fix it!?,1,2025-02-04,CBE
"It's very good app for transactions, to give you 5star one more thing you need to do is include bank statement showing methods. And one more thing after you take your commission why you take 5birr monthly without my confirmation?",4,2024-12-16,CBE
It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,1,2025-02-11,CBE
The new update is seems force enable developer options on setting. And please fix the problem on iphones it only works for few days every time it get maintained at branches,1,2025-01-17,CBE
It have a bug it keeps shut down when I open the app. Without any notification. Please fix the bug.,3,2025-02-22,CBE
"The banks logo, the hidden accounts data are not seen. It is saying it saying unconnected and hence does not sync.",2,2025-01-05,CBE
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE
"This application fast, secure and more convenient. Thanks CBE",5,2025-03-31,CBE
"In my view, I can't give any conclusion because it's the starting of an online banking in my country. However, the commercial bank of ethiopia must rebuild this app and also need to make more access to changing the system. Keep continuing ethiopia 🇪🇹 🇪🇹🇪🇹🇪🇹",5,2025-03-14,CBE
in this update why screenshoot is disabled now it's not working,1,2025-03-28,CBE
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE
"This application is really bad. It is slow and doesn't work properly. It doesn't show recent activities. Using this app I transfered money to a friend and after showing deduction on my account, the money didn't reach the other end,the activity is not reflected on my recent transactions either. The worst app ever. It doesn't work outside of Ethiopia.",1,2021-05-31,CBE
"It is a nice app compared to the previous one. I appreciate you have included local language but the details in the Amharic section will return to English mode, please fix that problem plus additional local language will increase its usability. Also it would be nice if the terms and conditions agreements, security tips, charge and transfer limits.... are included in the app.",4,2020-07-26,CBE
it's a very good application but sometimes it takes a long time to synchronize,4,2025-03-23,CBE
"The 'unsubscribe' button in the CBE Android app is misplaced. It should be at the middle of the menu or somewhere else rather than at the end. The end is usually for a 'log out"" and I inadvertently touched ''unsubscribe"" many times. This could lead to customers accidentally unsubscribing from the service.",4,2024-11-11,CBE
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE
It sends unwanted welcome notification every time you login. There is no way that you can disable this.,3,2025-02-13,CBE
"The app is unresponsive the time when the fragments are attached. It is just like shivering. Still, I can't download the transaction history instead it just toasted me can't save. Please consider all this things. But I would recommed you to use a tab layout. This is because, consider I am using latest Samsung 🤔 device, how do you think that your app is running on other damn devices like techno and itel ? It is horrible.",3,2022-08-26,CBE
The upgread is perfect and loved the new system could be accessed from any branch if u face problem in the application. The other thing if possible to add would be to expand the number of transaction be looked for all transaction back to a month period at list this will help review most transactions if there needs any review. The only problem I saw is that once a phone number is attached to another bank account # you need to provide another phone number to get the service. The rest is excellent,4,2020-07-31,CBE
1.we can't get mobile Token on CBE App or any other online. This is need to improve 2.internet banking is always say authenticate error after some weeks this is need to improve.,4,2025-03-16,CBE
"I'm blind. I have been using this service since 2008 EC. More or less both versions are accessible to our screen reader, talkback. However, after updating the app, its account tab couldn't display second account which is connected via CBE account. Secondly after transfering money, it shows save and share options but doesn't work.",3,2022-05-23,CBE
It is good for many aspect. If I can get transactions report with time duration(periodically),3,2025-03-07,CBE
it is good app but when I make inter bank transaction It can't display The receiver account number and name of receiver and also receiver bank,4,2025-03-19,CBE
The app keeps on crushing & I can't log in or access my account. Went to the bank for trouble shooting. The customer service was very poor and I told to reinstall the app and enter new activation key. I did and after starting to work for few hours again the prob is there and the app is still crushing and not working. Such poor service is unexpected from a big statd owned bank. You should fix the problem ASAP.,1,2019-03-06,CBE
"Poor application. Let me list down if you could update the main features. It say error while the money has already sent. We can't get the transaction record (it has limited date) or somtimes the listed record transactions and the details are not the same while we enter to see further details. So if you can, try to see telebirr application and how much simple it is then try to update frequently.",1,2024-07-02,CBE
"Nice ui, but it fails to update info constantly after the recent update. The transition is not smooth, with 120hz refresh rate its not smooth seems like very old. Need to add more security, whenever someone exits the app and returns from recent tab it just opens, it should have asked to insert pin everytime someone returns back. Fix these things",2,2022-09-04,CBE
"It crashes a lot; it doesn't work at all sometimes. By far, it is the worst mobile banking app I have ever used.",1,2025-02-15,CBE
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE
"The Most worrying thing of this Application is, while you confirm Transfer and hit ok, it prompted ""Connection error"" but actually if you see your balance the transfer was already done. This is serious bugg which you need to update and make security amendment's. I personally send twice one day , if the reciepent wasn't kind enough, imagine what will happen. Serious problem which needs Attention.",3,2022-02-12,CBE
"The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country.",1,2025-01-04,CBE
its good but add more features such like. bank statement showing,5,2025-04-24,CBE
Great experience so far but why this app ain't working while developer mode is on?,4,2025-03-24,CBE
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE
"It's very extraordinary app, the user interface is soo awesome, most importantly it's very user friendly. In terms of speed and services its unbelievably fast and flexible. I really appreciate the crews who've been working behind the scene to make this wonderful job alive. Well done !",5,2022-10-31,CBE
"I have bad experience since I started using this app. I get ""none available "" error message while there is good internet connection. And I went to my branch two times to activate the app. There should be some way to activate without physically going to the branch. Anyway, it should be improved much from what it is now!!!",1,2021-05-02,CBE
Good apps ...But fix the screenshot its not easy like before ......,5,2025-03-29,CBE
"I have been using this wonderful app. It is easy to use and user-friendly and perfect user experience app. I just have one suggestion, if you cloud add more info like who(person or company) deposited, and deposit discrimination if any in the recent transaction section of the app. The rest is perfect.",5,2023-03-26,CBE
without any reason it shows white screen and can't make transfers. Then when I went to branch then they reply go to the branch where you open your account.,1,2025-02-01,CBE
"Great app, but try to include an access to water bill payment for places other than Adis Ababa & try top the app not to be inactive while developer option setting in Samsung phones is activated",4,2025-02-11,CBE
"This app is the best, easy and more clear to use including its features to understand so i liked it 100% because the app made the life of customers easy. Thanks cbe and the app.",5,2024-12-27,CBE
it is good but it doesn't allow screen shot,4,2025-04-06,CBE
App keeps on crashing after the latest update. Failures are frequent.,3,2025-02-05,CBE
"After a recent update, this app stopped working with a message "" the developer turned off advanced ... etc.",3,2025-01-23,CBE
"Best Mobile-Banking app! Moreover, I will rate 5 stars as soon as you add ""account statement display"" menu in it. Hopefully waiting, Thank you in advance!",4,2024-12-30,CBE
"This App Is Best and Fantastic Because easy to use, It has Best security Specially Two Specific Authentication so this security is not path unauthorized person to Our account History. Thankyou CBE For We give this service",5,2025-02-04,CBE
"It's easy to use, but there is some problems sometimes when update the app in the network areas...",4,2025-01-31,CBE
Now it's crashing like crazy. It doesn't even open after a recent update.,1,2025-02-01,CBE
My device install up updated all data access all function but can't support transaction i. e first login password works but can't conformation last transaction password,5,2025-02-24,CBE
Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,1,2024-12-31,CBE
"It only works at the first glance(only after installation and configuration). After that all the transfer options, utilities, top up doesn't work. It just say doesn't sync. Even the balance bord keeps loading and doesn't show the current balance.... Very poor experience ☹️😥.",1,2020-09-05,CBE
"I have been using CBE App for long, but recently it has started crashing repeatedly and even my phone is reporting that the app has bugs and tells me to wait the developer to fix these bugs.",1,2025-03-09,CBE
"Alert The device developer Mode is turned on. You can't use this app, Please turn off Developer Mode and try again. OK Why reason?",1,2025-01-11,CBE
"I love it so much for its nice user interface and massive improvement. One much important thing it lacks is that, it synchronizes #ONLY-ONE account per app. For this reason, people (customers) who had >/= 2 accounts for different reasons, are obliged to visit the local CBE branch, which is unadvisable especially during COVID-19 era. I hope you will do your best on it.",4,2020-08-02,CBE
"Its hard to trust this application coz while transfering money it transfers two times to the same account after only one transfer click and sometimes it says error but it actualy have transfered the money, so i only use it if it is mandatory unless its better to go to the bank, so it still doesn't solve the problem not to go to the bank, i am sure it have some systematic errors",1,2022-03-01,CBE
"Broadly speaking, it is good app. But recently I have noticed a problem when trying to see the recent transactions it becomes very slow and sluggish even closes and also have seen this on my friends' phone. So, this should be corrected asap and speed should be core feature",4,2022-06-25,CBE
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE
"Its nice user interface...I hope you fix synchronisation fail problems that is common in before apk. In before apk if you are in middle of try to send the money and unfortunately internet is disconnected or someone is call you , the application say to you synchronisation is fail ..try to restart my phone or off and on internet the application never work again.. I call 951 but never get any support .",4,2020-06-28,CBE
"It is a very basic app. Banks nowadays offer many services through their app. I suggest you add the abilty to get statements, the ability to freeze the card if stolen or when traveling. The abilty to use the card while traveling. I have noticed that if Ieave Ethiopia it is not possible to pay my bills back home. So in general the app is very helpful and eased the burden of carrying money arroubd in Ethiopia, please improve it further.",4,2023-07-24,CBE
When I started using the app for the first time I like it. But through time it started annoying me😠 Because it doesn't update the transaction history immediately. I remember one day I transferred 17000 to another account but I can't took screenshots of transportation history. It says repository........! It needs urgent system maintenance ‼️,4,2022-09-28,CBE
